Ticket Number,Date,Application,Subject,Description,Steps Taken,Proposed Fix,ErrorNo
TK0929,6/9/2020,SP_HRM,Error while assigning employee group group to the employee,Error while assigning employee group group to the employee,Checked the employee group group details in employee master data,Resolved by assigning correct employee group group to the employee,
TK0930,7/9/2020,SP_HRM,Error while assigning wage type group group to the employee,Error while assigning wage type group group to the employee,Checked the wage type group group details in employee master data,Resolved by assigning correct wage type group group to the employee,
TK0931,7/9/2020,SP_HRM,Error while assigning time type group to the employee,Error while assigning time type group to the employee,Checked the time type group details in employee master data,Resolved by assigning correct time type group to the employee,
TK0932,7/9/2020,SP_HRM,Error while assigning shift group to the employee,Error while assigning shift group to the employee,Checked the shift group details in employee master data,Resolved by assigning correct shift group to the employee,
TK0933,8/9/2020,SP_HRM,Error while assigning infotype group to the employee,Error while assigning infotype group to the employee,Checked the infotype group details in employee master data,Resolved by assigning correct infotype group to the employee,
TK0934,8/9/2020,SP_HRM,Error while assigning pay component group to the employee,Error while assigning pay component group to the employee,Checked the pay component group details in employee master data,Resolved by assigning correct pay component group to the employee,
TK0935,8/9/2020,SP_HRM,Error while assigning feature group to the employee,Error while assigning feature group to the employee,Checked the feature group details in employee master data,Resolved by assigning correct feature group to the employee,
TK0936,9/9/2020,SP_HRM,Error while assigning number range group to the employee,Error while assigning number range group to the employee,Checked the number range group details in employee master data,Resolved by assigning correct number range group to the employee,
TK0937,9/9/2020,SP_HRM,Error while assigning work schedule group to the employee,Error while assigning work schedule group to the employee,Checked the work schedule group details in employee master data,Resolved by assigning correct work schedule group to the employee,
TK0938,9/9/2020,SP_HRM,Error while assigning enterprise structure group to the employee,Error while assigning enterprise structure group to the employee,Checked the enterprise structure group details in employee master data,Resolved by assigning correct enterprise structure group to the employee,
TK0939,10/9/2020,SP_HRM,Error while assigning cost assignment group to the employee,Error while assigning cost assignment group to the employee,Checked the cost assignment group details in employee master data,Resolved by assigning correct cost assignment group to the employee,
TK0940,10/9/2020,SP_HRM,Error while assigning position group to the employee,Error while assigning position group to the employee,Checked the position group details in employee master data,Resolved by assigning correct position group to the employee,
TK0941,10/9/2020,SP_HRM,Error while assigning job group to the employee,Error while assigning job group to the employee,Checked the job group details in employee master data,Resolved by assigning correct job group to the employee,
TK0942,11/9/2020,SP_HRM,Error while assigning cost center group to the employee,Error while assigning cost center group to the employee,Checked the cost center group details in employee master data,Resolved by assigning correct cost center group to the employee,
TK0943,11/9/2020,SP_HRM,Error while assigning personnel subarea group assignment group to the employee,Error while assigning personnel subarea group assignment group to the employee,Checked the personnel subarea group assignment group details in employee master data,Resolved by assigning correct personnel subarea group assignment group to the employee,
TK0944,11/9/2020,SP_HRM,Error while assigning personnel area group assignment group to the employee,Error while assigning personnel area group assignment group to the employee,Checked the personnel area group assignment group details in employee master data,Resolved by assigning correct personnel area group assignment group to the employee,
TK0945,12/9/2020,SP_HRM,Error while assigning bank transfer type group to the employee,Error while assigning bank transfer type group to the employee,Checked the bank transfer type group details in employee master data,Resolved by assigning correct bank transfer type group to the employee,
TK0946,12/9/2020,SP_HRM,Error while assigning direct deposit indicator group to the employee,Error while assigning direct deposit indicator group to the employee,Checked the direct deposit indicator group details in employee master data,Resolved by assigning correct direct deposit indicator group to the employee,
TK0947,12/9/2020,SP_HRM,Error while assigning bank country key group to the employee,Error while assigning bank country key group to the employee,Checked the bank country key group details in employee master data,Resolved by assigning correct bank country key group to the employee,
TK0948,13/09/20,SP_HRM,Error while assigning bank account group to the employee,Error while assigning bank account group to the employee,Checked the bank account group details in employee master data,Resolved by assigning correct bank account group to the employee,
TK0949,6/8/2020,SP_HR_ATT,Incorrect Time Entry,Incorrect Time Entry,Checked entry in time sheet,Corrected time entry,
